,_id,timestamp,device_id,double_frequency,double_decibels,double_rms,is_silent,silence_threshold
76,77,1411637643484.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,59.0,11.844118326588829,1041.9401153583901,0,837.0
77,78,1411637655791.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,173.0,26.97447758759332,245.3636482416909,1,843.0
78,79,1411637667047.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,253.0,11.009671202572399,1350.919974441029,0,836.0
79,80,1411637677408.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,357.0,6.872130307602785,2500.554709726785,0,846.0
80,81,1411637687890.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,145.0,4.520341422178634,4450.153260762019,0,875.0
81,82,1411637699825.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,322.0,2.8463432082112163,3052.837477221214,0,933.0
82,83,1411637710425.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,215.0,2.950703923319306,4076.067369424456,0,968.0
83,84,1411637720819.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,260.0,7.21565114674285,1425.3007583440453,0,1018.0
84,85,1411637731200.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,159.0,1.198093470066798,3268.955479187992,0,1027.0
85,86,1411637741630.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,173.0,5.91521291747827,3279.083889454471,0,1063.0
86,87,1411637751956.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,288.0,3.590618079380109,4233.078860102974,0,1098.0
87,88,1411637762504.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,131.0,6.345207568857928,2289.0315361007783,0,1146.0
88,89,1411637772911.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,173.0,0.00026507636037961915,3860.6416983341855,0,1166.0
89,90,1411637783726.0,11e5f39d-3b9f-4efb-bc96-13e63276c08b,76.0,7.510787581680707,1598.7690774261391,0,1207.0
